lat_sat_0,lon_sat_0,lat_sat_1,lon_sat_1,lat_sat_2,lon_sat_2,lat_sat_3,lon_sat_3
-51.94208389233695,20.647524113058697,-36.58462764656575,38.51386703774634,-46.12862746834103,30.224108838993956,-50.2979254638255,23.969874801002295
-52.18791271755332,20.6455559758021,-36.831987228198294,38.510168600120494,-46.37389943962227,30.220545841148784,-50.543448656613684,23.967379971517243
-52.43373999752792,20.64358768816409,-37.079345448135875,38.506470023151834,-46.619170119636905,30.21698259901235,-50.78897037407683,23.96488495304661
-52.67956741321728,20.64161925016355,-37.32670398727739,38.50277130687062,-46.864441189291135,30.213419112634593,-51.03449229716163,23.962389745618733
-52.925395132714186,20.63965066181926,-37.57406301365853,38.499072451307285,-47.1097128166282,30.209855382065744,-51.28001459395162,23.959894349261976
-53.171222819814886,20.637681923150097,-37.82142219101796,38.495373456491976,-47.35498466539422,30.20629140735579,-51.525536928233386,23.957398764004704
-53.417050642608594,20.635713034174895,-38.06878168738767,38.491674322455204,-47.60025690362842,30.20272718855482,-51.771059468086634,23.954902989875283
-53.662878601087066,20.63374399491251,-38.31614150270196,38.48797504922714,-47.845529531272696,30.199162725712892,-52.01658221349365,23.952407026902122
-53.90870669524223,20.63177480538175,-38.56350163689553,38.484275636838156,-48.090802548269046,30.195598018880094,-52.26210516443674,23.94991087511348
-54.15453492506472,20.629805465601475,-38.810862089901796,38.48057608531867,-48.33607595455802,30.192033068106376,-52.50762832089709,23.947414534537806
-54.40036329054895,20.62783597559048,-39.0582228616578,38.47687639469889,-48.58134975008425,30.188467873441883,-52.75315168285961,23.944918005203434
-54.6461917916854,20.625866335367622,-39.305583952096875,38.473176565009204,-48.826623934788216,30.184902434936543,-52.99867525030523,23.942421287138707
-54.89202042846616,20.623896544951794,-39.5529453611537,38.46947659627988,-49.07189850861195,30.18133675264045,-53.24419902321643,23.939924380372027
-55.1378492008829,20.621926604361736,-39.80030708876295,38.46577648854127,-49.317173471497476,30.177770826603687,-53.489723001575534,23.937427284931708
-55.38367810892633,20.619956513616376,-40.04766913485798,38.46207624182375,-49.5624488233853,30.174204656876213,-53.735247185363555,23.934930000846137
